GEOID,State Fips,State,school district (secondary),SD_NAME,SAEPOV5_17RV_PT,YEAR
0400082,04,Arizona,00082,Colorado River Union High School District,580,2017
0400450,04,Arizona,00450,Agua Fria Union High School District,868,2017
0400720,04,Arizona,00720,Antelope Union High School District,72,2017
0401160,04,Arizona,01160,Bicentennial Union High School District,45,2017
0401410,04,Arizona,01410,Buckeye Union High School District,559,2017
0401740,04,Arizona,01740,Casa Grande Union High School District,913,2017
0403450,04,Arizona,03450,Glendale Union High School District,4880,2017
0405070,04,Arizona,05070,Mingus Union High School District,307,2017
0406030,04,Arizona,06030,Patagonia Union High School District,14,2017
0406330,04,Arizona,06330,Phoenix Union High School District,12330,2017
0407530,04,Arizona,07530,Santa Cruz Valley Union High School District,160,2017
0408340,04,Arizona,08340,Tempe Union High School District,1567,2017
0408520,04,Arizona,08520,Tolleson Union High School District,2238,2017
0408910,04,Arizona,08910,Valley Union High School District,16,2017
0409630,04,Arizona,09630,Yuma Union High School District,3123,2017
0601650,06,California,01650,Acalanes Union High School District,160,2017
0602630,06,California,02630,Anaheim Union High School District,7153,2017
0602670,06,California,02670,West Sonoma County Union High School District,182,2017
0602700,06,California,02700,Anderson Union High School District,435,2017
0602820,06,California,02820,Antelope Valley Union Joint High School District,5272,2017
0603030,06,California,03030,Northern Humboldt Union High School District,302,2017
0605820,06,California,05820,Brawley Union High School District,426,2017
0605940,06,California,05940,Bret Harte Union High School District,139,2017
0607230,06,California,07230,Campbell Union High School District,635,2017
0607920,06,California,07920,Centinela Valley Union High School District,1870,2017
0608010,06,California,08010,Central Union High School District,939,2017
0608160,06,California,08160,Chaffey Joint Union High School District,3471,2017
0608550,06,California,08550,Chowchilla Union High School District,308,2017
0609810,06,California,09810,Corning Union High School District,289,2017
0610860,06,California,10860,Delano Joint Union High School District,1435,2017
0611700,06,California,11700,Dunsmuir Joint Union High School District,24,2017
0611780,06,California,11780,East Nicolaus Joint Union High School District,11,2017
0611820,06,California,11820,East Side Union High School District,3075,2017
0612070,06,California,12070,El Dorado Union High School District,578,2017
0612120,06,California,12120,El Monte Union High School District,2248,2017
0612910,06,California,12910,Escondido Union High School District,1505,2017
0613530,06,California,13530,Fallbrook Union High School District,359,2017
0614190,06,California,14190,Fortuna Union High School District,203,2017
0614430,06,California,14430,Fremont Union High School District,423,2017
0614760,06,California,14760,Fullerton Joint Union High School District,2365,2017
0614820,06,California,14820,Galt Joint Union High School District,350,2017
0616230,06,California,16230,Grossmont Union High School District,3561,2017
0616500,06,California,16500,Hanford Joint Union High School District,863,2017
0618060,06,California,18060,Huntington Beach Union High School District,2016,2017
0618930,06,California,18930,Jefferson Union High School District,423,2017
0619110,06,California,19110,Julian Union High School District,38,2017
0619540,06,California,19540,Kern High School District,9501,2017
0619650,06,California,19650,South Monterey County Joint Union High School District,468,2017
0619830,06,California,19830,Kingsburg Joint Union High School District,289,2017
0621060,06,California,21060,Lassen Union High School District,130,2017
0621270,06,California,21270,Le Grand Union High School District,256,2017
0621400,06,California,21400,Lemoore Union High School District,415,2017
0621600,06,California,21600,Liberty Union High School District,533,2017
0622800,06,California,22800,Los Gatos-Saratoga Joint Union School District,72,2017
0624660,06,California,24660,Merced Union High School District,3640,2017
0625150,06,California,25150,Modesto City High School District,2762,2017
0626310,06,California,26310,Mountain View-Los Altos Union School District,245,2017
0626880,06,California,26880,Nevada Joint Union High School District,437,2017
0629130,06,California,29130,Oroville Union High School District,706,2017
0629270,06,California,29270,Oxnard Union High School District,2680,2017
0630210,06,California,30210,Perris Union High School District,1859,2017
0630250,06,California,30250,Petaluma Joint Union High School District,356,2017
0630750,06,California,30750,Placer Union High School District,352,2017
0631230,06,California,31230,Point Arena Joint Union High School District,43,2017
0632010,06,California,32010,Red Bluff Joint Union High School District,456,2017
0633630,06,California,33630,Roseville Joint Union High School District,629,2017
0633980,06,California,33980,Salinas Union High School District,2682,2017
0634140,06,California,34140,San Benito High School District,371,2017
0634380,06,California,34380,San Dieguito Union High School District,746,2017
0634980,06,California,34980,San Mateo Union High School District,568,2017
0635110,06,California,35110,San Rafael City High School District,318,2017
0635600,06,California,35600,Santa Cruz City High School District,696,2017
0635670,06,California,35670,Santa Maria Joint Union High School District,1563,2017
0635830,06,California,35830,Santa Rosa High School District,1482,2017
0635850,06,California,35850,Santa Ynez Valley Union High School District,58,2017
0636390,06,California,36390,Sequoia Union High School District,782,2017
0636600,06,California,36600,Shasta Union High School District,789,2017
0636940,06,California,36940,Siskiyou Union High School District,87,2017
0636972,06,California,36972,Victor Valley Union High School District,4819,2017
0637260,06,California,37260,Sonora Union High School District,193,2017
0638280,06,California,38280,Summerville Union High School District,31,2017
0638610,06,California,38610,Sutter Union High School District,39,2017
0638640,06,California,38640,Sweetwater Union High School District,7057,2017
0638730,06,California,38730,Taft Union High School District,310,2017
0638790,06,California,38790,Tamalpais Union High School District,227,2017
0639930,06,California,39930,Tulare Joint Union High School District,1365,2017
